fishing_vessel_mmsi,transshipment_vessel_mmsi,start_time,end_time,mean_latitude,mean_longitude,duration_hr,median_distance_km,median_speed_knots,coordinates,country,iso_3
368609000,367526070,2013-06-27 23:00:00+00:00,2013-06-28 01:50:00+00:00,58.710377398062064,-157.2404193433793,2.833333333333333,0.026115642050000002,0.0021390762,"(58.710377398062064, -157.2404193433793)",,
368609000,367526070,2013-07-04 01:30:00+00:00,2013-07-04 09:10:00+00:00,58.709273285900004,-157.24357479350002,7.666666666666668,0.056505951500000005,0.011215890400000001,"(58.709273285900004, -157.24357479350002)",,
368609000,367526070,2013-05-16 20:30:00+00:00,2013-05-17 08:40:00+00:00,58.92840019,-160.3450419517,12.166666666666664,0.023143355499999997,0.044066780599999994,"(58.92840019, -160.3450419517)",,
368609000,367526070,2017-07-04 16:20:00+00:00,2017-07-05 13:50:00+00:00,58.8244564679,-158.5904031543869,21.5,0.0282571405,0.0082487008,"(58.8244564679, -158.5904031543869)",,
368609000,367526070,2015-07-03 06:40:00+00:00,2015-07-03 10:00:00+00:00,58.6891530713,-157.2914923089,3.333333333333333,0.0274631595,0.01509743,"(58.6891530713, -157.2914923089)",,
368609000,367526070,2014-07-04 21:00:00+00:00,2014-07-05 01:20:00+00:00,58.70650143503333,-157.2393657601333,4.333333333333333,0.02592067245,0.0373237019,"(58.70650143503333, -157.2393657601333)",,
368609000,367526070,2017-06-26 09:40:00+00:00,2017-06-26 21:50:00+00:00,58.82452664081847,-158.59155481467718,12.166666666666664,0.0281459283,0.0330010675,"(58.82452664081847, -158.59155481467718)",,
368609000,367526070,2013-05-11 20:50:00+00:00,2013-05-12 00:00:00+00:00,58.9287288811,-160.3452367001,3.1666666666666665,0.0338177002,0.0049867917,"(58.9287288811, -160.3452367001)",,
368609000,367526070,2016-07-08 03:50:00+00:00,2016-07-08 08:50:00+00:00,58.6862788616,-157.2861718382,5.0,0.0276269495,0.0048410673,"(58.6862788616, -157.2861718382)",,
368609000,367526070,2017-07-09 18:10:00+00:00,2017-07-09 21:00:00+00:00,58.8241605932,-158.59269370431213,2.833333333333333,0.0283549405,0.048113993550000005,"(58.8241605932, -158.59269370431213)",,
368609000,367526070,2012-05-22 00:00:00+00:00,2012-05-22 07:40:00+00:00,58.929980982749996,-160.3446160652,7.666666666666668,0.0301910531,0.01436854335,"(58.929980982749996, -160.3446160652)",,
368609000,367526070,2017-07-07 20:10:00+00:00,2017-07-07 22:40:00+00:00,58.82544793125,-158.5915802192,2.5,0.0263755109,0.01064877615,"(58.82544793125, -158.5915802192)",,
368609000,367526070,2017-07-12 00:30:00+00:00,2017-07-13 04:00:00+00:00,58.823346690839685,-158.59121883890637,27.5,0.0257228396,0.0227879399,"(58.823346690839685, -158.59121883890637)",,
368609000,367526070,2017-06-23 04:00:00+00:00,2017-06-23 11:50:00+00:00,58.82431058963881,-158.59059677581345,7.833333333333332,0.0264448419,0.01475383215,"(58.82431058963881, -158.59059677581345)",,
